ticker,name,sector,fiscal_year,revenue,net_income,eps,total_debt,ebitda,interest_expense,operating_cash_flow,free_cash_flow,total_equity,total_assets,current_assets,current_liabilities,dividend_per_share,shares_outstanding
NCBFG,NCB Financial Group,finance,2020,58000,9200,3.10,42000,15200,3100,10500,8900,72000,610000,180000,150000,1.20,2800
NCBFG,NCB Financial Group,finance,2021,61500,9800,3.31,43500,16100,3200,11200,9400,78500,635000,190000,155000,1.25,2800
NCBFG,NCB Financial Group,finance,2022,66200,10500,3.55,45200,17300,3350,12100,10200,85200,662000,201000,161000,1.32,2800
NCBFG,NCB Financial Group,finance,2023,70100,11200,3.79,46800,18400,3480,12900,10900,92100,690000,212000,168000,1.40,2800
NCBFG,NCB Financial Group,finance,2024,73950,11850,4.01,47200,19500,3520,13600,11500,99400,715000,220000,172000,1.48,2800
GRACE,GraceKennedy Ltd,retail_distribution,2020,102000,4100,2.90,28000,9800,1900,6200,3100,41000,168000,72000,58000,0.85,1450
GRACE,GraceKennedy Ltd,retail_distribution,2021,108500,4350,3.08,29500,10300,1980,6600,3300,44100,176000,76000,60500,0.88,1450
GRACE,GraceKennedy Ltd,retail_distribution,2022,116800,3900,2.76,33200,10100,2350,6100,2700,46500,188000,79000,64200,0.88,1450
GRACE,GraceKennedy Ltd,retail_distribution,2023,121400,3700,2.62,35800,9900,2600,5900,2400,48300,194000,80500,66900,0.85,1450
GRACE,GraceKennedy Ltd,retail_distribution,2024,124900,3550,2.51,37500,9700,2800,5700,2100,49700,199000,81800,68700,0.80,1450
SPEC,Speculative Holdings,tourism_leisure,2023,8200,-450,-0.35,6100,850,720,-200,-950,3200,24000,4100,6800,0.00,1280
SPEC,Speculative Holdings,tourism_leisure,2024,9100,-180,-0.14,6800,1050,780,150,-600,3050,25500,4600,7200,0.00,1280
